ID,NAME,WEBSITE
0014100000MUZwMAAX,Icahn Enterprises L.P.,ielp.com
0014100000MUa0wAAD,"United Natural Foods, Inc.",unfi.com
0014100000MUa0xAAD,Auto-Owners Insurance Group,auto-owners.com
0014100000MUa0yAAD,"Windstream Holdings, Inc.",windstream.com
0014100000MUa0zAAD,"Dr Pepper Snapple Group, Inc.",drpeppersnapplegroup.com
0014100000MUa10AAD,Lennar Corporation,lennar.com
0014100000MUa11AAD,Sanmina,sanmina.com
0014100000MUa12AAD,"Harley-Davidson, Inc.",harley-davidson.com
0014100000MUa13AAD,CONSOL Energy Inc.,consolenergy.com
0014100000MUa14AAD,The J.M. Smucker Company,smucker.com
0014100000MUa15AAD,Newell Rubbermaid Inc.,newellrubbermaid.com
0014100000MUa16AAD,"CH2M HILL Companies, Ltd.",ch2m.com
0014100000MUa17AAD,Energy Future Holdings Corp.,energyfutureholdings.com
0014100000MUa18AAD,Susser Holdings Corporation,susser.com
0014100000MUa19AAD,Laboratory Corporation of America Holdings,labcorp.com
0014100000MUa1AAAT,"Kindred Healthcare, Inc.",kindredhealthcare.com
0014100000MUa1BAAT,Leidos Holdings Inc.,leidos.com
0014100000MUa1CAAT,Booz Allen Hamilton Holding Corp.,boozallen.com
0014100000MUa1DAAT,"The Jones Financial Companies,L.L.L.P.",edwardjones.com
0014100000MUa1EAAT,Cliffs Natural Resources Inc.,cliffsnaturalresources.com
0014100000MUa1FAAT,"PulteGroup, Inc.",pultegroupinc.com
0014100000MUa1GAAT,Regions Financial Corporation,regions.com
0014100000MUa1HAAT,NiSource Inc.,nisource.com
0014100000MUa1IAAT,"Graybar Electric Company, Inc.",graybar.com
0014100000MUa1JAAT,"Integrys Energy Group, Inc.",integrysgroup.com
0014100000MUZwNAAX,ManpowerGroup Inc.,manpowergroup.com
0014100000MUZwOAAX,HollyFrontier Corporation,hollyfrontier.com
0014100000MUZwPAAX,Global Partners LP,globalp.com
0014100000MUZwQAAX,The Goodyear Tire &amp; Rubber Company,goodyear.com
0014100000MUZwRAAX,PBF Energy Inc.,"www,pbfenergy.com"
0014100000MUZwSAAX,Danaher Corporation,danaher.com
0014100000MUZwTAAX,Nucor Corporation,nucor.com
0014100000MUZwUAAX,Kohl's Corporation,kohlscorporation.com
0014100000MUZwVAAX,AbbVie Inc.,abbvie.com
0014100000MUZwWAAX,Whirlpool Corporation,whirlpoolcorp.com
0014100000MUZwXAAX,Amgen Inc.,amgen.com
0014100000MUZwYAAX,"Jabil Circuit, Inc.",jabil.com
0014100000MUZwZAAX,"Kraft Foods Group, Inc.",kraftfoodsgroup.com
0014100000MUZwaAAH,The Progressive Corporation,progressive.com
0014100000MUZwbAAH,"CenturyLink, Inc.",centurylink.com
0014100000MUZwcAAH,"General Mills, Inc.",generalmills.com
0014100000MUZwdAAH,Southwest Airlines Co.,southwest.com
0014100000MUZweAAH,"Altria Group, Inc.",altria.com
0014100000MUZwfAAH,"AutoNation, Inc.",autonation.com
0014100000MUZwgAAH,Chesapeake Energy Corporation,chk.com
0014100000MUZwhAAH,Dollar General Corporation,dollargeneral.com
0014100000MUZwiAAH,TRW Automotive Holdings Corp.,trw.com
0014100000MUZwjAAH,United States Steel Corporation,ussteel.com
0014100000MUZwkAAH,Colgate-Palmolive Company,colgatepalmolive.com
0014100000MUa1KAAT,The Clorox Company,thecloroxcompany.com
0014100000MUa1LAAT,"Wynn Resorts, Limited",wynnresorts.com
0014100000MUa1MAAT,"The Andersons, Inc.",andersonsinc.com
0014100000MUa1NAAT,"J.B. Hunt Transport Services, Inc.",jbhunt.com
0014100000MUa1OAAT,AK Steel Holding Corporation,aksteel.com
0014100000MUa1PAAT,Harbinger Group Inc.,harbingergroupinc.com
0014100000MUa1QAAT,MeadWestvaco Corporation,mwv.com
0014100000MUa1RAAT,The Western Union Company,westernunion.com
0014100000MUa1SAAT,The Charles Schwab Corporation,aboutschwab.com
0014100000MUa1TAAT,"Discovery Communications, Inc.",discoverycommunications.com
0014100000MUa1UAAT,Spectra Energy Corp,spectraenergy.com
0014100000MUa1VAAT,"St. Jude Medical, Inc.",sjm.com
0014100000MUa1WAAT,"CF Industries Holdings, Inc.",cfindustries.com
0014100000MUa1XAAT,Con-way Inc.,con-way.com
0014100000MUa1YAAT,Old Republic International Corporation,oldrepublic.com
0014100000MUa1ZAAT,JetBlue Airways Corporation,jetblue.com
0014100000MUa1aAAD,"Calumet Specialty Products Partners, L.P.",calumetspecialty.com
0014100000MUa1bAAD,"Kelly Services, Inc.",kellyservices.com
0014100000MUa1cAAD,Domtar Corporation,domtar.com
0014100000MUa1dAAD,Murphy Oil Corporation,murphyoilcorp.com
0014100000MUa1eAAD,Harris Corporation,harris.com
0014100000MUa1fAAD,"Asbury Automotive Group, Inc.",asburyauto.com
0014100000MUa1gAAD,"Big Lots, Inc.",biglots.com
0014100000MUa1hAAD,"Advanced Micro Devices, Inc.",amd.com
0014100000MUZwlAAH,Cummins Inc.,cummins.com
0014100000MUZwmAAH,PACCAR Inc,paccar.com
0014100000MUZwnAAH,The Southern Company,southerncompany.com
0014100000MUZwoAAH,Illinois Tool Works Inc.,itw.com
0014100000MUZwpAAH,"The PNC Financial Services Group, Inc.",pnc.com
